[2025-12-05 04:34:16] SQLSTATE[HY000]: General error: 1 no such table: building_queue | SQL: ALTER TABLE building_queue ADD COLUMN status TEXT DEFAULT 'active' | Params: []
[2025-12-05 04:34:16] SQLSTATE[HY000]: General error: 1 no such table: building_queue | SQL: ALTER TABLE building_queue ADD COLUMN status TEXT DEFAULT 'active' | Params: []
[2025-12-05 04:34:16] SQLSTATE[HY000]: General error: 1 no such table: building_queue | SQL: ALTER TABLE building_queue ADD COLUMN status TEXT DEFAULT 'active' | Params: []
[2025-12-05 04:34:16] SQLSTATE[HY000]: General error: 1 no such table: building_queue | SQL: ALTER TABLE building_queue ADD COLUMN status TEXT DEFAULT 'active' | Params: []
[2025-12-05 04:34:16] SQLSTATE[HY000]: General error: 1 no such table: building_queue | SQL: ALTER TABLE building_queue ADD COLUMN status TEXT DEFAULT 'active' | Params: []
[2025-12-05 04:34:16] SQLSTATE[HY000]: General error: 1 no such table: building_queue | SQL: ALTER TABLE building_queue ADD COLUMN status TEXT DEFAULT 'active' | Params: []
[2025-12-05 04:34:16] SQLSTATE[HY000]: General error: 1 no such table: building_queue | SQL: ALTER TABLE building_queue ADD COLUMN status TEXT DEFAULT 'active' | Params: []
[2025-12-05 04:34:16] SQLSTATE[HY000]: General error: 1 no such table: building_queue | SQL: ALTER TABLE building_queue ADD COLUMN status TEXT DEFAULT 'active' | Params: []
[2025-12-05 04:34:16] SQLSTATE[HY000]: General error: 1 no such table: building_queue | SQL: ALTER TABLE building_queue ADD COLUMN status TEXT DEFAULT 'active' | Params: []
[2025-12-05 04:34:16] SQLSTATE[HY000]: General error: 1 no such table: building_queue | SQL: ALTER TABLE building_queue ADD COLUMN status TEXT DEFAULT 'active' | Params: []
[2025-12-05 04:34:16] SQLSTATE[HY000]: General error: 1 no such table: building_queue | SQL: ALTER TABLE building_queue ADD COLUMN status TEXT DEFAULT 'active' | Params: []
[2025-12-05 04:34:16] SQLSTATE[HY000]: General error: 1 no such table: building_queue | SQL: ALTER TABLE building_queue ADD COLUMN status TEXT DEFAULT 'active' | Params: []
[2025-12-05 04:34:16] SQLSTATE[HY000]: General error: 1 no such table: building_queue | SQL: ALTER TABLE building_queue ADD COLUMN status TEXT DEFAULT 'active' | Params: []
[2025-12-05 04:34:16] SQLSTATE[HY000]: General error: 1 no such table: building_queue | SQL: ALTER TABLE building_queue ADD COLUMN status TEXT DEFAULT 'active' | Params: []
[2025-12-05 04:34:16] SQLSTATE[HY000]: General error: 1 no such table: building_queue | SQL: ALTER TABLE building_queue ADD COLUMN status TEXT DEFAULT 'active' | Params: []
[2025-12-05 04:34:16] SQLSTATE[HY000]: General error: 1 no such table: building_queue | SQL: ALTER TABLE building_queue ADD COLUMN status TEXT DEFAULT 'active' | Params: []
[2025-12-05 04:34:16] SQLSTATE[HY000]: General error: 1 no such table: building_queue | SQL: ALTER TABLE building_queue ADD COLUMN status TEXT DEFAULT 'active' | Params: []
[2025-12-05 04:34:16] SQLSTATE[HY000]: General error: 1 no such table: building_queue | SQL: ALTER TABLE building_queue ADD COLUMN status TEXT DEFAULT 'active' | Params: []
[2025-12-05 04:34:16] SQLSTATE[HY000]: General error: 1 no such table: building_queue | SQL: ALTER TABLE building_queue ADD COLUMN status TEXT DEFAULT 'active' | Params: []
[2025-12-05 04:34:16] SQLSTATE[HY000]: General error: 1 no such table: building_queue | SQL: ALTER TABLE building_queue ADD COLUMN status TEXT DEFAULT 'active' | Params: []
[2025-12-05 04:34:16] SQLSTATE[HY000]: General error: 1 no such table: building_queue | SQL: ALTER TABLE building_queue ADD COLUMN status TEXT DEFAULT 'active' | Params: []
[2025-12-05 04:34:16] SQLSTATE[HY000]: General error: 1 no such table: building_queue | SQL: ALTER TABLE building_queue ADD COLUMN status TEXT DEFAULT 'active' | Params: []
[2025-12-05 04:34:16] SQLSTATE[HY000]: General error: 1 no such table: building_queue | SQL: ALTER TABLE building_queue ADD COLUMN status TEXT DEFAULT 'active' | Params: []
[2025-12-05 04:34:17] SQLSTATE[HY000]: General error: 1 no such table: building_queue | SQL: ALTER TABLE building_queue ADD COLUMN status TEXT DEFAULT 'active' | Params: []
[2025-12-05 04:34:17] SQLSTATE[HY000]: General error: 1 no such table: building_queue | SQL: ALTER TABLE building_queue ADD COLUMN status TEXT DEFAULT 'active' | Params: []
[2025-12-05 04:34:17] SQLSTATE[HY000]: General error: 1 no such table: building_queue | SQL: ALTER TABLE building_queue ADD COLUMN status TEXT DEFAULT 'active' | Params: []
[2025-12-05 04:34:17] SQLSTATE[HY000]: General error: 1 no such table: building_queue | SQL: ALTER TABLE building_queue ADD COLUMN status TEXT DEFAULT 'active' | Params: []
[2025-12-05 04:34:17] SQLSTATE[HY000]: General error: 1 no such table: building_queue | SQL: ALTER TABLE building_queue ADD COLUMN status TEXT DEFAULT 'active' | Params: []
[2025-12-05 04:34:17] SQLSTATE[HY000]: General error: 1 no such table: building_queue | SQL: ALTER TABLE building_queue ADD COLUMN status TEXT DEFAULT 'active' | Params: []
[2025-12-05 04:34:17] SQLSTATE[HY000]: General error: 1 no such table: building_queue | SQL: ALTER TABLE building_queue ADD COLUMN status TEXT DEFAULT 'active' | Params: []
[2025-12-05 04:34:17] SQLSTATE[HY000]: General error: 1 no such table: building_queue | SQL: ALTER TABLE building_queue ADD COLUMN status TEXT DEFAULT 'active' | Params: []
[2025-12-05 04:34:17] SQLSTATE[HY000]: General error: 1 no such table: building_queue | SQL: ALTER TABLE building_queue ADD COLUMN status TEXT DEFAULT 'active' | Params: []
[2025-12-05 04:34:17] SQLSTATE[HY000]: General error: 1 no such table: building_queue | SQL: ALTER TABLE building_queue ADD COLUMN status TEXT DEFAULT 'active' | Params: []
[2025-12-05 04:34:17] SQLSTATE[HY000]: General error: 1 no such table: building_queue | SQL: ALTER TABLE building_queue ADD COLUMN status TEXT DEFAULT 'active' | Params: []
[2025-12-05 04:34:17] SQLSTATE[HY000]: General error: 1 no such table: building_queue | SQL: ALTER TABLE building_queue ADD COLUMN status TEXT DEFAULT 'active' | Params: []
[2025-12-05 04:34:17] SQLSTATE[HY000]: General error: 1 no such table: building_queue | SQL: ALTER TABLE building_queue ADD COLUMN status TEXT DEFAULT 'active' | Params: []
[2025-12-05 04:34:17] SQLSTATE[HY000]: General error: 1 no such table: building_queue | SQL: ALTER TABLE building_queue ADD COLUMN status TEXT DEFAULT 'active' | Params: []
[2025-12-05 04:34:17] SQLSTATE[HY000]: General error: 1 no such table: building_queue | SQL: ALTER TABLE building_queue ADD COLUMN status TEXT DEFAULT 'active' | Params: []
[2025-12-05 04:34:17] SQLSTATE[HY000]: General error: 1 no such table: building_queue | SQL: ALTER TABLE building_queue ADD COLUMN status TEXT DEFAULT 'active' | Params: []
[2025-12-05 04:34:17] SQLSTATE[HY000]: General error: 1 no such table: building_queue | SQL: ALTER TABLE building_queue ADD COLUMN status TEXT DEFAULT 'active' | Params: []
[2025-12-05 04:34:17] SQLSTATE[HY000]: General error: 1 no such table: building_queue | SQL: ALTER TABLE building_queue ADD COLUMN status TEXT DEFAULT 'active' | Params: []
[2025-12-05 04:34:17] SQLSTATE[HY000]: General error: 1 no such table: building_queue | SQL: ALTER TABLE building_queue ADD COLUMN status TEXT DEFAULT 'active' | Params: []
[2025-12-05 04:34:17] SQLSTATE[HY000]: General error: 1 no such table: building_queue | SQL: ALTER TABLE building_queue ADD COLUMN status TEXT DEFAULT 'active' | Params: []
[2025-12-05 04:34:17] SQLSTATE[HY000]: General error: 1 no such table: building_queue | SQL: ALTER TABLE building_queue ADD COLUMN status TEXT DEFAULT 'active' | Params: []
[2025-12-05 04:34:17] SQLSTATE[HY000]: General error: 1 no such table: building_queue | SQL: ALTER TABLE building_queue ADD COLUMN status TEXT DEFAULT 'active' | Params: []
[2025-12-05 04:34:18] SQLSTATE[HY000]: General error: 1 no such table: building_queue | SQL: ALTER TABLE building_queue ADD COLUMN status TEXT DEFAULT 'active' | Params: []
[2025-12-05 04:34:18] SQLSTATE[HY000]: General error: 1 no such table: building_queue | SQL: ALTER TABLE building_queue ADD COLUMN status TEXT DEFAULT 'active' | Params: []
[2025-12-05 04:34:18] SQLSTATE[HY000]: General error: 1 no such table: building_queue | SQL: ALTER TABLE building_queue ADD COLUMN status TEXT DEFAULT 'active' | Params: []
[2025-12-05 04:34:18] SQLSTATE[HY000]: General error: 1 no such table: building_queue | SQL: ALTER TABLE building_queue ADD COLUMN status TEXT DEFAULT 'active' | Params: []
[2025-12-05 04:34:18] SQLSTATE[HY000]: General error: 1 no such table: building_queue | SQL: ALTER TABLE building_queue ADD COLUMN status TEXT DEFAULT 'active' | Params: []
[2025-12-05 04:34:18] SQLSTATE[HY000]: General error: 1 no such table: building_queue | SQL: ALTER TABLE building_queue ADD COLUMN status TEXT DEFAULT 'active' | Params: []
[2025-12-05 04:34:18] SQLSTATE[HY000]: General error: 1 no such table: building_queue | SQL: ALTER TABLE building_queue ADD COLUMN status TEXT DEFAULT 'active' | Params: []
[2025-12-05 04:34:18] SQLSTATE[HY000]: General error: 1 no such table: building_queue | SQL: ALTER TABLE building_queue ADD COLUMN status TEXT DEFAULT 'active' | Params: []
[2025-12-05 04:34:18] SQLSTATE[HY000]: General error: 1 no such table: building_queue | SQL: ALTER TABLE building_queue ADD COLUMN status TEXT DEFAULT 'active' | Params: []
[2025-12-05 04:34:18] SQLSTATE[HY000]: General error: 1 no such table: building_queue | SQL: ALTER TABLE building_queue ADD COLUMN status TEXT DEFAULT 'active' | Params: []
[2025-12-05 04:34:18] SQLSTATE[HY000]: General error: 1 no such table: building_queue | SQL: ALTER TABLE building_queue ADD COLUMN status TEXT DEFAULT 'active' | Params: []
[2025-12-05 04:34:18] SQLSTATE[HY000]: General error: 1 no such table: building_queue | SQL: ALTER TABLE building_queue ADD COLUMN status TEXT DEFAULT 'active' | Params: []
[2025-12-05 04:34:18] SQLSTATE[HY000]: General error: 1 no such table: building_queue | SQL: ALTER TABLE building_queue ADD COLUMN status TEXT DEFAULT 'active' | Params: []
[2025-12-05 04:34:18] SQLSTATE[HY000]: General error: 1 no such table: building_queue | SQL: ALTER TABLE building_queue ADD COLUMN status TEXT DEFAULT 'active' | Params: []
[2025-12-05 04:34:18] SQLSTATE[HY000]: General error: 1 no such table: building_queue | SQL: ALTER TABLE building_queue ADD COLUMN status TEXT DEFAULT 'active' | Params: []
[2025-12-05 04:34:18] SQLSTATE[HY000]: General error: 1 no such table: building_queue | SQL: ALTER TABLE building_queue ADD COLUMN status TEXT DEFAULT 'active' | Params: []
[2025-12-05 04:34:18] SQLSTATE[HY000]: General error: 1 no such table: building_queue | SQL: ALTER TABLE building_queue ADD COLUMN status TEXT DEFAULT 'active' | Params: []
[2025-12-05 04:34:18] SQLSTATE[HY000]: General error: 1 no such table: building_queue | SQL: ALTER TABLE building_queue ADD COLUMN status TEXT DEFAULT 'active' | Params: []
[2025-12-05 04:34:18] SQLSTATE[HY000]: General error: 1 no such table: building_queue | SQL: ALTER TABLE building_queue ADD COLUMN status TEXT DEFAULT 'active' | Params: []
[2025-12-05 04:34:18] SQLSTATE[HY000]: General error: 1 no such table: building_queue | SQL: ALTER TABLE building_queue ADD COLUMN status TEXT DEFAULT 'active' | Params: []
[2025-12-05 04:34:18] SQLSTATE[HY000]: General error: 1 no such table: building_queue | SQL: ALTER TABLE building_queue ADD COLUMN status TEXT DEFAULT 'active' | Params: []
[2025-12-05 04:34:18] SQLSTATE[HY000]: General error: 1 no such table: building_queue | SQL: ALTER TABLE building_queue ADD COLUMN status TEXT DEFAULT 'active' | Params: []
[2025-12-05 04:34:18] SQLSTATE[HY000]: General error: 1 no such table: building_queue | SQL: ALTER TABLE building_queue ADD COLUMN status TEXT DEFAULT 'active' | Params: []
[2025-12-05 04:34:18] SQLSTATE[HY000]: General error: 1 no such table: building_queue | SQL: ALTER TABLE building_queue ADD COLUMN status TEXT DEFAULT 'active' | Params: []
[2025-12-05 04:34:18] SQLSTATE[HY000]: General error: 1 no such table: building_queue | SQL: ALTER TABLE building_queue ADD COLUMN status TEXT DEFAULT 'active' | Params: []
[2025-12-05 04:34:19] SQLSTATE[HY000]: General error: 1 no such table: building_queue | SQL: ALTER TABLE building_queue ADD COLUMN status TEXT DEFAULT 'active' | Params: []
[2025-12-05 04:34:19] SQLSTATE[HY000]: General error: 1 no such table: building_queue | SQL: ALTER TABLE building_queue ADD COLUMN status TEXT DEFAULT 'active' | Params: []
[2025-12-05 04:34:19] SQLSTATE[HY000]: General error: 1 no such table: building_queue | SQL: ALTER TABLE building_queue ADD COLUMN status TEXT DEFAULT 'active' | Params: []
[2025-12-05 04:34:19] SQLSTATE[HY000]: General error: 1 no such table: building_queue | SQL: ALTER TABLE building_queue ADD COLUMN status TEXT DEFAULT 'active' | Params: []
[2025-12-05 04:34:19] SQLSTATE[HY000]: General error: 1 no such table: building_queue | SQL: ALTER TABLE building_queue ADD COLUMN status TEXT DEFAULT 'active' | Params: []
[2025-12-05 04:34:19] SQLSTATE[HY000]: General error: 1 no such table: building_queue | SQL: ALTER TABLE building_queue ADD COLUMN status TEXT DEFAULT 'active' | Params: []
[2025-12-05 04:34:19] SQLSTATE[HY000]: General error: 1 no such table: building_queue | SQL: ALTER TABLE building_queue ADD COLUMN status TEXT DEFAULT 'active' | Params: []
[2025-12-05 04:34:19] SQLSTATE[HY000]: General error: 1 no such table: building_queue | SQL: ALTER TABLE building_queue ADD COLUMN status TEXT DEFAULT 'active' | Params: []
[2025-12-05 04:34:19] SQLSTATE[HY000]: General error: 1 no such table: building_queue | SQL: ALTER TABLE building_queue ADD COLUMN status TEXT DEFAULT 'active' | Params: []
[2025-12-05 04:34:19] SQLSTATE[HY000]: General error: 1 no such table: building_queue | SQL: ALTER TABLE building_queue ADD COLUMN status TEXT DEFAULT 'active' | Params: []
[2025-12-05 04:34:19] SQLSTATE[HY000]: General error: 1 no such table: building_queue | SQL: ALTER TABLE building_queue ADD COLUMN status TEXT DEFAULT 'active' | Params: []
[2025-12-05 04:34:19] SQLSTATE[HY000]: General error: 1 no such table: building_queue | SQL: ALTER TABLE building_queue ADD COLUMN status TEXT DEFAULT 'active' | Params: []
[2025-12-05 04:34:19] SQLSTATE[HY000]: General error: 1 no such table: building_queue | SQL: ALTER TABLE building_queue ADD COLUMN status TEXT DEFAULT 'active' | Params: []
[2025-12-05 04:34:19] SQLSTATE[HY000]: General error: 1 no such table: building_queue | SQL: ALTER TABLE building_queue ADD COLUMN status TEXT DEFAULT 'active' | Params: []
[2025-12-05 04:34:19] SQLSTATE[HY000]: General error: 1 no such table: building_queue | SQL: ALTER TABLE building_queue ADD COLUMN status TEXT DEFAULT 'active' | Params: []
[2025-12-05 04:34:19] SQLSTATE[HY000]: General error: 1 no such table: building_queue | SQL: ALTER TABLE building_queue ADD COLUMN status TEXT DEFAULT 'active' | Params: []
[2025-12-05 04:34:19] SQLSTATE[HY000]: General error: 1 no such table: building_queue | SQL: ALTER TABLE building_queue ADD COLUMN status TEXT DEFAULT 'active' | Params: []
[2025-12-05 04:34:19] SQLSTATE[HY000]: General error: 1 no such table: building_queue | SQL: ALTER TABLE building_queue ADD COLUMN status TEXT DEFAULT 'active' | Params: []
[2025-12-05 04:34:19] SQLSTATE[HY000]: General error: 1 no such table: building_queue | SQL: ALTER TABLE building_queue ADD COLUMN status TEXT DEFAULT 'active' | Params: []
[2025-12-05 04:34:19] SQLSTATE[HY000]: General error: 1 no such table: building_queue | SQL: ALTER TABLE building_queue ADD COLUMN status TEXT DEFAULT 'active' | Params: []
[2025-12-05 04:34:19] SQLSTATE[HY000]: General error: 1 no such table: building_queue | SQL: ALTER TABLE building_queue ADD COLUMN status TEXT DEFAULT 'active' | Params: []
[2025-12-05 04:34:19] SQLSTATE[HY000]: General error: 1 no such table: building_queue | SQL: ALTER TABLE building_queue ADD COLUMN status TEXT DEFAULT 'active' | Params: []
[2025-12-05 04:34:19] SQLSTATE[HY000]: General error: 1 no such table: building_queue | SQL: ALTER TABLE building_queue ADD COLUMN status TEXT DEFAULT 'active' | Params: []
[2025-12-05 04:34:19] SQLSTATE[HY000]: General error: 1 no such table: building_queue | SQL: ALTER TABLE building_queue ADD COLUMN status TEXT DEFAULT 'active' | Params: []
[2025-12-05 04:34:19] SQLSTATE[HY000]: General error: 1 no such table: building_queue | SQL: ALTER TABLE building_queue ADD COLUMN status TEXT DEFAULT 'active' | Params: []
[2025-12-05 04:34:19] SQLSTATE[HY000]: General error: 1 no such table: building_queue | SQL: ALTER TABLE building_queue ADD COLUMN status TEXT DEFAULT 'active' | Params: []
[2025-12-05 04:34:19] SQLSTATE[HY000]: General error: 1 no such table: building_queue | SQL: ALTER TABLE building_queue ADD COLUMN status TEXT DEFAULT 'active' | Params: []
[2025-12-05 04:34:20] SQLSTATE[HY000]: General error: 1 no such table: building_queue | SQL: ALTER TABLE building_queue ADD COLUMN status TEXT DEFAULT 'active' | Params: []
[2025-12-05 04:34:20] SQLSTATE[HY000]: General error: 1 no such table: building_queue | SQL: ALTER TABLE building_queue ADD COLUMN status TEXT DEFAULT 'active' | Params: []
[2025-12-05 04:34:20] SQLSTATE[HY000]: General error: 1 no such table: building_queue | SQL: ALTER TABLE building_queue ADD COLUMN status TEXT DEFAULT 'active' | Params: []
